env,run,tag,step,value
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1425408,433.1700134277344
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1433600,428.5
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1441792,442.2699890136719
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1449984,459.70001220703125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1458176,443.30999755859375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1466368,484.510009765625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1474560,494.0299987792969
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1482752,464.4100036621094
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1490944,490.54998779296875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1499136,499.70001220703125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1507328,513.5399780273438
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1515520,468.4700012207031
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1523712,499.260009765625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1531904,511.42999267578125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1540096,511.5899963378906
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1548288,505.5
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1556480,490.30999755859375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1564672,525.22998046875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1572864,542.1500244140625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1581056,498.3399963378906
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1589248,529.8800048828125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1597440,537.9000244140625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1605632,530.3900146484375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1613824,525.0499877929688
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1622016,513.3200073242188
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1630208,522.6599731445312
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1638400,511.1300048828125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1646592,499.1199951171875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1654784,491.1499938964844
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1662976,497.8900146484375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1671168,500.9700012207031
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1679360,493.8500061035156
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1687552,489.67999267578125
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1695744,488.760009765625
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1703936,513.3900146484375
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1712128,538.280029296875
Ant-v5,ant_ppo_2048_lr3e-04,rollout/ep_len_mean,1720320,544.0900268554688
